Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.31,0.9099999999999999,0.5267742354293149
75% Corpus,7,0.31,symmetric,0.4592603426343441
75% Corpus,7,0.61,0.01,0.4339225363500366
75% Corpus,7,0.61,0.31,0.5135478582742965
75% Corpus,7,0.61,0.61,0.4772429697860624
75% Corpus,7,0.61,0.9099999999999999,0.49052104486230264
75% Corpus,7,0.61,symmetric,0.44441958338043547
75% Corpus,7,0.9099999999999999,0.01,0.43965457167899535
75% Corpus,7,0.9099999999999999,0.31,0.5096794213882844
75% Corpus,7,0.9099999999999999,0.61,0.49557415480590944
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.453249793305845
75% Corpus,7,0.9099999999999999,symmetric,0.4666350557662529
75% Corpus,7,symmetric,0.01,0.4510212968171233
75% Corpus,7,symmetric,0.31,0.5208447162073017
75% Corpus,7,symmetric,0.61,0.5432779941226801
75% Corpus,7,symmetric,0.9099999999999999,0.49580963465848854
75% Corpus,7,symmetric,symmetric,0.47624937861101463
75% Corpus,7,asymmetric,0.01,0.44784368313850925
75% Corpus,7,asymmetric,0.31,0.4833751956024172
75% Corpus,7,asymmetric,0.61,0.4864627417828565
75% Corpus,7,asymmetric,0.9099999999999999,0.4549001113385666
75% Corpus,7,asymmetric,symmetric,0.4494160702970355
100% Corpus,2,0.01,0.01,0.4107736244722432
100% Corpus,2,0.01,0.31,0.45139582958410385
100% Corpus,2,0.01,0.61,0.4491905375325614
100% Corpus,2,0.01,0.9099999999999999,0.4870644852432331
100% Corpus,2,0.01,symmetric,0.44919053753256144
100% Corpus,2,0.31,0.01,0.414309874847675
100% Corpus,2,0.31,0.31,0.5092299047967648
100% Corpus,2,0.31,0.61,0.41080564334478614
100% Corpus,2,0.31,0.9099999999999999,0.3937114513991954
100% Corpus,2,0.31,symmetric,0.4928859047252562
100% Corpus,2,0.61,0.01,0.4085421801465374
100% Corpus,2,0.61,0.31,0.4304633982986491
100% Corpus,2,0.61,0.61,0.46121658267666754
100% Corpus,2,0.61,0.9099999999999999,0.405768490557849
100% Corpus,2,0.61,symmetric,0.36994117731702836
100% Corpus,2,0.9099999999999999,0.01,0.41135002373544605
100% Corpus,2,0.9099999999999999,0.31,0.41437627848027925
100% Corpus,2,0.9099999999999999,0.61,0.38490672389910535
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3854840758696967
100% Corpus,2,0.9099999999999999,symmetric,0.4143762784802792
100% Corpus,2,symmetric,0.01,0.46494108585414484
100% Corpus,2,symmetric,0.31,0.4304633982986491
100% Corpus,2,symmetric,0.61,0.4304633982986491
100% Corpus,2,symmetric,0.9099999999999999,0.4381373449336842
100% Corpus,2,symmetric,symmetric,0.4304633982986491
100% Corpus,2,asymmetric,0.01,0.40486710401719267
100% Corpus,2,asymmetric,0.31,0.4731338233745995
100% Corpus,2,asymmetric,0.61,0.43813734493368417
100% Corpus,2,asymmetric,0.9099999999999999,0.4250980787133144
100% Corpus,2,asymmetric,symmetric,0.48648648258175764
100% Corpus,3,0.01,0.01,0.4266842756445583
100% Corpus,3,0.01,0.31,0.49007901747926547
100% Corpus,3,0.01,0.61,0.5964886964092467
100% Corpus,3,0.01,0.9099999999999999,0.43789782785995696
100% Corpus,3,0.01,symmetric,0.5353201840953231
100% Corpus,3,0.31,0.01,0.3931454449430151
100% Corpus,3,0.31,0.31,0.4469004055675852
